,time,percentage
2,20,6.2
4,21,6.4
6,22,6.800000000000001
8,23,7.199999999999999
9,24,7.199999999999999
11,25,7.3999999999999995
12,26,7.6
13,27,7.8
14,28,8.0
15,29,8.200000000000001
16,30,8.4
17,32,8.6
18,33,8.6
19,34,8.799999999999999
20,35,9.0
21,36,9.0
22,37,9.2
23,38,9.4
24,39,9.4
25,41,9.6
26,42,9.8
27,43,9.8
28,44,10.0
29,45,10.2
30,46,10.2
31,48,10.4
32,49,10.6
33,51,10.6
34,52,10.8
35,54,11.0
36,56,11.0
37,58,11.200000000000001
38,60,11.4
39,61,11.4
40,63,11.600000000000001
41,65,11.799999999999999
42,67,11.799999999999999
43,69,11.799999999999999
44,71,12.0
46,74,12.0
47,77,12.0
48,79,12.0
49,80,12.2
50,82,12.2
51,83,12.2
52,84,12.2
53,85,12.4
54,86,12.4
55,87,12.4
56,88,12.4
57,89,12.4
58,90,12.6
59,91,12.6
60,92,12.6
61,93,12.6
62,94,12.8
63,96,12.8
64,97,12.8
65,98,12.8
66,99,13.0
67,100,13.0
68,102,13.200000000000001
69,103,13.200000000000001
70,105,13.4
71,107,13.600000000000001
72,108,13.600000000000001
73,109,13.8
74,111,14.000000000000002
75,113,14.2
76,115,14.399999999999999
77,117,14.6
78,120,14.799999999999999
79,121,15.0
80,124,15.4
81,126,15.6
82,129,15.8
83,131,16.0
84,133,16.400000000000002
85,136,16.6
86,138,16.8
87,140,17.0
88,143,17.2
89,146,17.4
90,149,17.599999999999998
91,151,17.8
92,154,18.0
93,158,18.2
94,161,18.2
95,163,18.4
96,166,18.4
97,169,18.4
98,171,18.4
99,174,18.4
100,176,18.4
101,179,18.4
102,181,18.4
103,183,18.4
104,185,18.4
105,186,18.4
106,188,18.4
107,190,18.2
108,191,18.2
109,193,18.0
110,195,17.8
111,196,17.8
112,198,17.599999999999998
113,200,17.599999999999998
114,202,17.599999999999998
115,204,17.4
116,206,17.4
117,207,17.4
118,209,17.4
119,210,17.4
120,211,17.4
122,216,17.4
123,218,17.4
124,220,17.599999999999998
125,221,17.599999999999998
126,222,17.8
127,223,18.0
128,225,18.0
129,226,18.2
130,227,18.4
131,228,18.4
132,230,18.8
133,231,19.0
134,233,19.0
135,234,19.2
136,236,19.400000000000002
137,238,19.6
138,239,19.8
139,242,20.0
140,244,20.200000000000003
141,246,20.599999999999998
142,249,20.8
143,251,21.0
144,254,21.2
145,256,21.6
146,259,21.8
147,262,22.0
148,265,22.400000000000002
149,269,22.6
150,272,22.8
151,276,23.0
152,279,23.200000000000003
153,283,23.400000000000002
154,286,23.599999999999998
155,289,23.799999999999997
156,294,24.0
157,297,24.0
158,300,24.2
159,303,24.2
160,306,24.2
161,309,24.2
162,311,24.4
163,314,24.4
164,317,24.4
165,320,24.4
166,323,24.4
167,326,24.4
168,330,24.4
169,335,24.4
170,338,24.4
171,341,24.4
172,344,24.4
173,348,24.4
174,351,24.4
175,353,24.4
176,357,24.4
177,359,24.4
178,361,24.4
179,363,24.6
180,365,24.6
181,366,24.8
182,368,25.0
183,369,25.0
184,371,25.2
185,373,25.4
186,374,25.6
187,376,25.8
188,379,26.0
189,381,26.400000000000002
190,383,26.6
191,387,27.0
192,389,27.200000000000003
193,391,27.400000000000002
194,394,27.6
195,397,27.800000000000004
196,399,27.800000000000004
197,402,28.000000000000004
198,405,28.000000000000004
199,407,28.000000000000004
200,410,28.199999999999996
201,412,28.199999999999996
202,415,28.199999999999996
203,417,28.199999999999996
204,419,28.199999999999996
205,421,28.199999999999996
206,423,28.199999999999996
207,425,28.199999999999996
208,428,28.000000000000004
209,430,28.000000000000004
210,431,28.000000000000004
211,434,28.000000000000004
212,436,28.000000000000004
213,438,28.000000000000004
214,439,28.000000000000004
215,441,28.000000000000004
216,442,28.199999999999996
217,444,28.4
218,446,28.4
219,449,28.599999999999998
220,451,28.799999999999997
221,454,28.799999999999997
222,456,28.999999999999996
223,460,29.2
224,462,29.4
225,465,29.599999999999998
226,467,29.799999999999997
227,470,30.0
228,472,30.4
229,475,30.599999999999998
230,477,30.8
231,480,31.2
232,482,31.6
233,485,32.0
234,487,32.4
235,491,33.2
236,493,33.6
237,496,34.2
238,498,34.8
239,500,35.4
240,503,36.0
241,508,37.0
242,511,37.8
243,514,38.6
244,517,39.4
245,520,40.2
246,522,41.0
247,526,42.0
248,528,42.8
249,531,43.6
250,533,44.4
251,535,45.0
252,537,45.800000000000004
253,540,46.6
254,542,47.4
255,544,48.0
256,546,48.8
257,549,49.8
258,552,50.8
259,554,51.800000000000004
260,556,52.6
261,559,53.400000000000006
262,561,54.2
263,564,55.400000000000006
264,567,56.599999999999994
265,573,59.0
266,578,60.8
267,581,62.4
268,584,63.800000000000004
269,586,65.0
270,589,66.2
271,591,67.4
272,594,69.19999999999999
273,596,70.39999999999999
274,598,71.6
275,599,72.39999999999999
276,601,73.2
277,603,74.0
278,606,75.0
279,610,76.2
280,611,76.8
282,612,77.4
283,613,77.8
284,614,78.0
285,615,78.4
287,616,78.60000000000001
288,617,78.8
289,618,79.0
290,619,79.2
291,620,79.4
293,621,79.80000000000001
294,622,80.0
295,624,80.4
296,626,80.80000000000001
297,628,81.2
298,629,81.39999999999999
299,631,81.6
300,632,82.0
301,634,82.39999999999999
302,637,83.0
303,638,83.39999999999999
304,639,83.6
305,640,84.0
306,641,84.39999999999999
307,643,84.8
308,645,85.39999999999999
309,646,85.8
310,647,85.8
312,648,86.0
314,649,86.2
315,650,86.4
318,651,86.6
320,652,86.8
325,653,87.2
331,654,87.6
